category,file,status,error,mean_similarity,min_similarity,max_similarity,std_similarity,ref_to_hyp_mean,hyp_to_ref_mean,num_chunks_ref,num_chunks_hyp
1.original,21_2026_NQ-HDND_709737.txt,ok,,0.832550,0.417884,0.909967,0.056677,0.883219,0.869877,65,65
1.original,21_NQ-HDND_707824.txt,ok,,0.752263,0.583602,0.911521,0.096992,0.862995,0.865007,5,5
1.original,22_2026_NQ-HDND_709414.txt,ok,,0.832471,0.670157,0.917135,0.053987,0.890439,0.890566,15,15
1.original,22_2026_NQ-HDND_709738.txt,ok,,0.826755,0.682628,0.907532,0.037800,0.875114,0.878493,33,34
1.original,23_2023_QH15_m_563579.txt,ok,,0.820258,0.618996,0.889848,0.041586,0.866473,0.864271,19,19
1.original,23_2026_NQ-HDND_709416.txt,ok,,0.823765,0.635139,0.933258,0.044973,0.887859,0.878941,22,22
1.original,23_2026_NQ-HDND_709739.txt,ok,,0.816927,0.576160,0.944913,0.079089,0.896092,0.896194,13,13
1.original,23_NQ-HDND_707612.txt,ok,,0.828121,0.686884,0.926163,0.059995,0.894213,0.890644,4,4
1.original,23_NQ-HDND_707821.txt,ok,,0.818912,0.706694,0.886433,0.050070,0.870048,0.863214,4,4
1.original,23_NQ-HDND_709740 (1).txt,ok,,0.839265,0.739596,0.912430,0.037110,0.887416,0.888709,10,10
1.original,23_NQ-HDND_709740.txt,ok,,0.839265,0.739596,0.912430,0.037110,0.887416,0.888709,10,10
1.original,24_2023_QH15_535782.txt,ok,,0.840013,0.621870,0.910121,0.027860,0.881515,0.877831,116,116
1.original,24_2026_NQ-HDND_709417.txt,ok,,0.822611,0.672390,0.933362,0.058059,0.900715,0.901249,8,8
1.original,24_2026_NQ-HDND_709733.txt,ok,,0.840674,0.687649,0.927525,0.031926,0.889434,0.884836,55,55
1.original,24_NQ-HDND_707611.txt,ok,,0.850808,0.689396,0.914760,0.051554,0.894735,0.896657,7,7
1.original,24_NQ-HDND_707820.txt,ok,,0.827595,0.696464,0.906756,0.054319,0.888528,0.878829,4,4
