filename,attack_group,layoutlmv3_cosine_similarity
63_2020_QH14_402074.npy,2.insert,0.999474
63_2025_QH15_639242.npy,2.insert,0.999472
63_2026_QD-UBND_709654.npy,2.insert,0.997085
64_2020_QH14_374160.npy,2.insert,0.999776
64_2025_QH15_639239.npy,2.insert,0.999932
65_2020_QH14_422708.npy,2.insert,0.988524
65_2025_QH15_639241.npy,2.insert,0.999844
66_2020_QH14_439845.npy,2.insert,0.999528
66_2025_QH15_621225.npy,2.insert,0.999324
67_2020_QH14_m_373520.npy,2.insert,0.999494
67_2025_QH15_580594.npy,2.insert,0.997585
68_2020_QH14_435315.npy,2.insert,0.999616
68_2025_QH15_578018.npy,2.insert,0.999801
69_2020_QH14_439844.npy,2.insert,0.999757
69_2025_QH15_603983.npy,2.insert,0.999744
70_2020_QH14_376557.npy,2.insert,0.999317
70_2025_QH15_580121.npy,2.insert,0.999124
70_2026_NQ-HDND_709515.npy,2.insert,0.995061
71_2020_QH14_366792.npy,2.insert,0.996299
71_2025_QH15_621341.npy,2.insert,0.999817
72_2020_QH14_431147.npy,2.insert,0.999873
72_2025_QH15_649675.npy,2.insert,0.999573
73_2021_QH14_445185.npy,2.insert,0.999379
73_2025_QH15_621345.npy,2.insert,0.999484
74_2025_QH15_m_530912.npy,2.insert,0.999123
75_2025_QH15_555035.npy,2.insert,0.997746
76_2025_QH15_659899.npy,2.insert,0.997439
77_2025_QH15_643029.npy,2.insert,0.994754
78_2025_QH15_m_623226.npy,2.insert,0.999369
79_2025_QH15_660522.npy,2.insert,0.995458
80_2025_QH15_649688.npy,2.insert,0.999126
81_2025_QH15_660533.npy,2.insert,0.999699
82_2025_QH15_660530.npy,2.insert,0.996712
83_2025_QH15_663780.npy,2.insert,0.999583
84_2025_QH15_655378.npy,2.insert,0.999354
85_2025_QH15_651570.npy,2.insert,0.999038
86_2025_QH15_662377.npy,2.insert,0.999684
87_2025_QH15_662673.npy,2.insert,0.999620
88_2025_QH15_m_659898.npy,2.insert,0.997213
89_2025_QH15_650061.npy,2.insert,0.999656
8_2026_QH16_704810.npy,2.insert,0.998217
90_2025_QH15_m_662379.npy,2.insert,0.999841
91_2025_QH15_m_625628.npy,2.insert,0.999532
92_2025_QH15_659897.npy,2.insert,0.999614
93_2025_QH15_m_581164.npy,2.insert,0.999626
94_2025_QH15_643689.npy,2.insert,0.999879
95_2025_QH15_622480.npy,2.insert,0.999722
96_2025_QH15_648594.npy,2.insert,0.998349
97_2025_QH15_663709.npy,2.insert,0.999159
98_2025_QH15_662116.npy,2.insert,0.999500
99_2025_QH15_662829.npy,2.insert,0.999127
01_2021_QH15_486447.npy,3.delete,0.999265
01_2026_NQ-HDND_707600.npy,3.delete,0.999915
01_2026_NQ-HDND_707836.npy,3.delete,0.998512
01_2026_QH16_704788.npy,3.delete,0.999547
02_2021_QH15_489113.npy,3.delete,0.998174
02_2026_NQ-HDND_707102.npy,3.delete,0.999480
02_2026_NQ-HDND_707534.npy,3.delete,0.999513
02_2026_NQ-HDND_707835.npy,3.delete,0.999137
02_2026_NQ-HDND_708053.npy,3.delete,0.998628
02_2026_QH16_696077.npy,3.delete,0.999950
02_2026_UBTVQH16_708292.npy,3.delete,0.997650
03_2022_QH15_m_486653.npy,3.delete,0.999132
03_2026_NQ-HDND_707107.npy,3.delete,0.999762
03_2026_NQ-HDND_707251.npy,3.delete,0.998942
03_2026_NQ-HDND_707834.npy,3.delete,0.997541
03_2026_NQ-HDND_709377.npy,3.delete,0.999033
03_2026_QH16_694806.npy,3.delete,0.999207
04_2022_QH15_477977.npy,3.delete,0.999940
04_2026_NQ-HDND_707101.npy,3.delete,0.999566
04_2026_NQ-HDND_707533.npy,3.delete,0.998327
04_2026_NQ-HDND_707833.npy,3.delete,0.999869
04_2026_NQ-HDND_707870.npy,3.delete,0.999768
